Bin motorwayMLR motorwayEL motorwayRPROP motorwaySMS trunkMLR trunkEL trunkRPROP trunkSMS primaryMLR primaryEL primaryRPROP primarySMS aMLR aEL aRPROP aSMS bMLR bEL bRPROP bSMS minorMLR minorEL minorRPROP minorSMS
28 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.41136363636364 2.4 3.4 4.4 1.41639344262295 2.40819672131148 3.4 4.4 1.4054347826087 2.4054347826087 3.4 4.4 1.40580912863071 2.40414937759336 3.4 4.40663900414938
29 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.40819672131148 4.41639344262295 1.4054347826087 2.4 3.4 4.4 1.40497925311203 2.40331950207469 3.4 4.40248962655602
30 1.4 2.4 3.4 4.4 1.45555555555556 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40819672131148 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.40580912863071 2.40331950207469 3.4 4.40497925311203
31 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4 2.4054347826087 3.4 4.4 1.40248962655602 2.40331950207469 3.4 4.40497925311203
32 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4054347826087 2.4 3.4054347826087 4.4054347826087 1.40248962655602 2.40165975103734 3.4 4.40165975103734
33 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.42459016393443 1.4054347826087 2.4 3.4 4.4 1.40248962655602 2.4 3.4 4.40082987551867
34 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4054347826087 3.4 4.4 1.40165975103734 2.40082987551867 3.4 4.40082987551867
35 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4054347826087 4.4 1.40414937759336 2.4 3.4 4.40082987551867
36 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.40819672131148 4.4 1.4 2.4054347826087 3.4 4.4054347826087 1.40082987551867 2.40082987551867 3.4 4.40082987551867
37 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.41136363636364 2.4 3.4 4.4 1.40819672131148 2.4 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.40331950207469 2.40165975103734 3.4 4.4
38 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40819672131148 3.4 4.4 1.4 2.4 3.4 4.4054347826087 1.40082987551867 2.4 3.4 4.40082987551867
39 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.4
40 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.40248962655602 3.4 4.40082987551867
41 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.40165975103734 2.4 3.4 4.40082987551867
42 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40082987551867
43 1.4 2.4 3.41612903225806 4.41612903225807 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.40248962655602
44 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.41639344262295 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40082987551867
45 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.40819672131148 3.4 4.40819672131148 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.40082987551867
